Topic,Keyword
No Comment,n/a | (no comment)~1 | ""na"" | nil | ""all of the above""
Pride,pride | proud
Meaningful Work,"""meaningful work""| ""interesting work"" | ""rewarding work"" | ""sense of accomplishment"" | ""challenging work"" | ((interesting work)~2 -""interesting people"") | (variety work)~2 | (job fulfilling)~2 | (work fulfilling)~2 | job satisfaction | (satisfied job)~3"
Intent to stay,"(stay here)~2 | ""quitting"" | ""to quit"" | retention | (losing leaders)~5 | (losing employees)~5 | (leave company)~5 | attrition | turnover | (stay company)~5 | retain | (quit job)~3 | ""intent to stay"" | ""intent to leave"" | ""plan to stay"" | ""plan to leave"""
Motivated,"engaged | motivated | inspired | energized | ""discretionary effort"" | ""extra mile"" | (look forward to work)"
Recommend,(recommend work)~6 | (great company)~1 | (great place)~1 | (recommend place)~3 | (recommend to friends)~3 | (recommend to family)~3 | (recommend company)~3 | (place to work)
Flexible Working,"(flexible work)~1 | (work home)~2 | (flexible hours)~2 | (flexible schedule)~2 | (remote work)~1 | (flexibility work)~2 | (flexibility job)~2 | ""compressed work week"" | ""telecommuting"" | ""flex time"" | ""telecommute"" | ""part-time"""
Workload & Work-Life Balance,"(personal balance)~3 |  worklife | (work balance)~3 | workload | (budget cut)~2 | (late night)~2 | ""hour week"" | ""hour day"" | ""hours a week"" | ""hours per week"" | ""more with less"" | ""hour days""|  (too much work)~3 |  (enough staff)~4 | ""staffing"" | manpower | ""understaffed"" | (manning levels)~1 | ""more staff"" | ""more people"" | ""enough people"" | (short staff)~1 | ""long hours"" | ""job freeze"" | ""hiring freeze"""
Job Security,job security | layoff | furlough
Wellbeing & Resilience,"resilience | ""well being"" | wellbeing | stress -""stress enough"" | burnout | burnt out | exhausted | anxiety | morale | working conditions | resilience | optimistic | persevere | (lose hope)"
Change Management,(communicating change)~5 | (communication change)~5 | (poorly managed change)~2 | “change management” | (managing change)~2 | (ambiguity change)~5 | (direction change)~5 | (leading change)~3
Pace of Change,(too much change)~3 | (amount change)~2 | (nonstop change)~2 | (constant change)~3 | (rapid change)~3
Restructuring,"(organization redesign)~1| (spans & layers) | flatten | (reporting change)~2 | (organization change)~3 | (org change)~3 | (restructure org)~3 | (restructure organization)~3 | (leader change)~2 | (leadership change)~2 | (manager change)~2 | (supervisor change)~2 | (management change)~2 | (organizational change)~3 | reorg | merger | acquisition restructuring | (process redesign) | rightsize |  structure changes -""pay structure"" -""bonus structure"" -""compensation structure"" | divestiture"
Reduction in Workforce,layoff | furlough | downsize | “RIF” | “reduction in force”
Incentive Pay,"bonus | incentive | (stock -""in stock"" | ""out of stock"") | ESPP | RSU | vest | ""shares"" | (stock grant)~3 | ""stock options"" | options | commission | ""quota"""
Time Off,"vacation | (holiday -(holiday party)~1) | ""get leave"" | ""extended leave"" | ""annual leave"" | ""leave of absence"" | PTO | ""time off"" | maternity | paternity | ""parental leave"" | ""unpaid leave"" | ""paid leave"" | ""sick leave"" | ""study leave"" | (days off)~2 | ""family leave""| FMLA"
Base Pay,"(pay -""pay for"" -""pays for"") | salary | salaries | wage | ""cost of living"" | ""living wage"" | ""minimum wage"" | ""merit increase"" | ""pay grade"" | overtime | ""pay equity"" | ""equal pay"" | (raise -(""raising"" | (raise voice)~2 | (raise morale)~2 | (raise issue)~3 | (raise concern)~2 | (raise family)~2 | ""raised"" | ""raise the bar"" | ""reise"")) | paycheck | hourly | paycheck | ""base pay"" | ""merit pay"""
Compensation Philosophy,"""comp"" | (compensation decisions)~2 | (reward performance)~2 | (reward contribution)~2 | commensurate | ""pay for performance"" | ""comp"" | (compensation decisions)~2"
Benefits,"(""benefits"" -""benefits of"") | 401k | 401(k) | retirement | pension | pretax | posttax | (company match)~1 | (match contribution)~2 | vest | ROTH | IRA | (retirement savings)~4 | HSA | FSA | ""dependent care"" | childcare | (cost premium)~3 | deductible | gym | perks | discounts | copay | reimburse | (medical benefits)~1 | (stock purchase)~2 | (tuition reimbursement)~0 | subsidy | wellness | wellbeing | ""flexible spending account"" | vision | adoption assistance | prescription | ""health savings account"" | dental | (commuter benefits)~0 | (bus pass)~2 | parking | (health plan)~0 | cafeteria | (free food)~2 | (volunteer community)~4 | (volunteering events) | insurance  -(car insurance)~2 -(home insurance)~3 -(insurance case)"
Staffing,"hiring | (late night)~2 | ""hour week"" | ""hour day"" | ""hours a week"" | ""hours per week"" | ""more with less"" | ""hour days""|  (too much work)~3 | (enough staff)~4 | ""staffing"" | manpower | ""understaffed"" | (manning levels)~1 | ""more staff"" | ""more people"" | ""enough people"" | (short staff)~1 | ""long hours"" | ""job freeze"" | ""hiring freeze"" | headcount | (qualified people)~3 | (qualified candidates)~3 | interview | outsourcing | outsource | ""contingent staff"" | ""contingent workers"" | ""contractors"" | (seasonal staff)~1 | (seasonal workers)~1 | (seasonal employees)~1 | (seasonal members)~1 | (temporary staff)~1 | (temporary workers)~1 | (temporary employees)~1 | (temporary members)~1 | ""temps"" | parttime | fulltime | layoff | furlough"
Budget,"budget | (budget cut)~2 | ""cost-cutting"" | (cut costs) | fiscal | finances"
Work Space,"(open space) | renovation | interior | (stand desk)~2 | ergonomic | (meeting room)~1 | chairs | (conference room)~1 | workstation | ""workspace""| bathroom | cafeteria | gym | office"
IT & Systems,"system | CRM | database | technology | server | software | hardware | tech | laptop | mac | PC | keyboard | mouse | screen | computer | (internet connection)~2 | (internet access)~2 | ""internet explorer"" | (slow internet)~3 | video | skype | ""zoom"" | webex | Microsoft | ""google drive"" | ""sharepoint"" | ""google docs"" | ""google hangout"" | wifi | ethernet | network | device | (use slack)~5 | (slack tools)~4 | ""google chrome"" | tableau | (help desk) | (IT support)~3 | equipment"
Tools & Resources,"resource | funding | tool | information | supplies | ""materials"""
Collaboration,"""teamwork"" | (aligned teams)~2 | ""shared goals"" | ""shared priorities"" | ""shared OKRs""| ""shared objectives"" | ""team goals"" | ""team objectives"" | ""team OKRs"" | ""team priorities"" | (align teams)~2 | collaborate | collaboration | (across department)~3 | ""cross-team"" | collaborative | silo | cooperate | (work together)~3 | (""one team"" -""one team member"") | ""cross-department"" | cohesion | (inter department)~0 | ""shared purpose"" | (aligned priorities)~2 | (alignment team)~3 | (competing priorities)~2 | (conflicting priorities)~2 | united | camaraderie | (coordination departments)~2 | (coordination functions)~2 | (coordination teams)~2 | ""cross-functional"" | (achieve together)~3"
Coworkers & Teams,(people work with)~2 | (amazing people)~3 | (good people)~3 | (great people)~3 | talented | (great group)~1 | passion | (work peers)~3 | (relationships peers)~3 | (excellent people)~3 | (quality people)~3 | coworkers | colleagues | teammates | (team member)~2 | team | workgroup | (interesting people)~1 | (passionate people)~1 | (talented people)~1 | (top talent) | (incompetent people)~1 | “positive attitude”
Coaching & Feedback,feedback | criticism | (improve performance)~4 | coach -(in coach) -(fly coach) | (performance conversation)
Communication,(share goals)~3 | (communicate goals)~3 | (share priorities)~2 | (communicate priorities)~2 | (share expectations)~3 | (communicate expectations)~3 | (share OKRs)~3 | (communicate OKRs)~3 | (manager communication)~3 | (leadership communication)~3 | (supervisor communication)~3 | (management communication)~3 | (leader communication)~3 | (clear leadership) | (manager communicates)~3 | (leadership communicates)~3 | (supervisor communicates)~3 | (management communicates)~3 | (leader communicates)~3 | (open communication)~2 | (openly communicate)~1 | (transparent communication) | (timely communication) | (explain decisions)~3 | (share decisions)~3 | (communicate decisions)~3
